Family,IP Address,Port Number,Hosting Range,Domain Name,Second Level,Last Seen
njrat,3.126.37.18,10092,3.120.0.0/13,2.tcp.eu.ngrok.io,ngrok.io,2024-05-26
njrat,3.67.161.133,14522,3.64.0.0/12,5.tcp.eu.ngrok.io,ngrok.io,2024-05-26
njrat,3.127.181.115,14522,3.120.0.0/13,5.tcp.eu.ngrok.io,ngrok.io,2024-05-26
njrat,3.64.4.198,14522,3.64.0.0/12,5.tcp.eu.ngrok.io,ngrok.io,2024-05-26
njrat,18.158.58.205,14522,18.156.0.0/14,5.tcp.eu.ngrok.io,ngrok.io,2024-05-26
njrat,18.192.31.165,15881,18.192.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-05-26
njrat,3.66.38.117,17680,3.64.0.0/12,6.tcp.eu.ngrok.io,ngrok.io,2024-05-26
njrat,105.154.228.100,10000,105.154.0.0/16,doddyfire.linkpc.net,linkpc.net,2024-05-26
njrat,192.169.69.25,3042,192.169.68.0/22,njratnew.duckdns.org,duckdns.org,2024-05-26
redline,89.23.100.222,44528,89.23.100.0/23,,,2024-05-26
njrat,41.142.211.38,10000,41.142.192.0/19,doddyfire.linkpc.net,linkpc.net,2024-05-25
njrat,147.185.221.18,41414,147.185.221.0/24,authority-amazon.gl.at.ply.gg,ply.gg,2024-05-25
njrat,3.121.139.82,14200,3.120.0.0/13,4.tcp.eu.ngrok.io,ngrok.io,2024-05-25
nanocore,192.169.69.26,60705,192.169.68.0/22,december2n.duckdns.org,duckdns.org,2024-05-25
njrat,192.169.69.25,2054,192.169.68.0/22,medallos.duckdns.org,duckdns.org,2024-05-25
njrat,192.169.69.25,5060,192.169.68.0/22,denemeciiso.duckdns.org,duckdns.org,2024-05-25
njrat,147.185.221.19,39657,147.185.221.0/24,these-accommodation.gl.at.ply.gg,ply.gg,2024-05-25
njrat,160.177.77.232,10000,160.176.0.0/14,doddyfire.linkpc.net,linkpc.net,2024-05-24
nanocore,192.169.69.26,65024,192.169.68.0/22,december2n.duckdns.org,duckdns.org,2024-05-24
nanocore,184.105.237.195,10008,184.105.236.0/23,franex.gotdns.ch,gotdns.ch,2024-05-24
njrat,147.185.221.17,41021,147.185.221.0/24,every-unnecessary.gl.at.ply.gg,ply.gg,2024-05-24
njrat,147.185.221.19,54921,147.185.221.0/24,19.ip.gl.ply.gg,ply.gg,2024-05-24
nanocore,192.169.69.25,3615,192.169.68.0/22,getmoney3004.duckdns.org,duckdns.org,2024-05-24
redline,40.121.142.114,6709,40.121.0.0/16,,,2024-05-23
njrat,3.125.209.94,13265,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-05-23
njrat,3.125.223.134,13265,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-05-23
nanocore,185.216.70.125,1974,185.216.70.0/24,psolver827.ddns.net,ddns.net,2024-05-23
njrat,160.176.158.157,10000,160.176.0.0/14,doddyfire.linkpc.net,linkpc.net,2024-05-23
lokibot,34.205.242.146,80,34.204.0.0/14,shipboot.com,shipboot.com,2024-05-23
njrat,188.226.118.231,1527,188.226.0.0/17,njratvtope30.ddns.net,ddns.net,2024-05-23
lokibot,130.51.23.8,80,130.51.20.0/22,sssteell-com.asia,sssteell-com.asia,2024-05-23
nanocore,104.243.242.165,1620,104.243.242.0/23,newsddawork.3utilities.com,3utilities.com,2024-05-23
njrat,18.158.249.75,18134,18.156.0.0/14,0.tcp.eu.ngrok.io,ngrok.io,2024-05-23
njrat,3.124.142.205,18134,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-05-23
njrat,3.125.223.134,18134,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-05-23
lokibot,107.154.163.162,80,107.154.128.0/18,wonderbooth.com.my,com.my,2024-05-23
njrat,18.158.58.205,15949,18.156.0.0/14,5.tcp.eu.ngrok.io,ngrok.io,2024-05-23
lokibot,198.54.114.219,80,198.54.112.0/20,hydeoutent.com,hydeoutent.com,2024-05-23
njrat,105.104.48.230,5552,105.104.0.0/13,spygate.myftp.biz,myftp.biz,2024-05-23
njrat,196.64.243.43,10000,196.64.0.0/15,doddyfire.linkpc.net,linkpc.net,2024-05-22
njrat,209.25.141.2,42240,209.25.140.0/22,19.ip.gl.ply.gg,ply.gg,2024-05-22
njrat,209.25.141.2,42759,209.25.140.0/22,19.ip.gl.ply.gg,ply.gg,2024-05-22
njrat,209.25.141.2,41730,209.25.140.0/22,19.ip.gl.ply.gg,ply.gg,2024-05-22
njrat,209.25.141.2,43778,209.25.140.0/22,19.ip.gl.ply.gg,ply.gg,2024-05-22
njrat,147.185.221.19,60143,147.185.221.0/24,19.ip.gl.ply.gg,ply.gg,2024-05-22
njrat,209.25.141.2,42754,209.25.140.0/22,19.ip.gl.ply.gg,ply.gg,2024-05-22
redline,193.233.255.34,1111,193.233.255.0/24,,,2024-05-22
lokibot,192.185.129.109,80,192.185.129.0/24,infres.in,infres.in,2024-05-22
lokibot,172.67.166.59,80,172.67.0.0/16,merckllc.top,merckllc.top,2024-05-22
njrat,45.76.129.156,5050,45.76.0.0/16,seznam.zapto.org,zapto.org,2024-05-22
njrat,18.197.239.5,10614,18.192.0.0/13,2.tcp.eu.ngrok.io,ngrok.io,2024-05-22
njrat,18.192.93.86,10614,18.192.0.0/13,2.tcp.eu.ngrok.io,ngrok.io,2024-05-22
njrat,3.126.37.18,10614,3.120.0.0/13,2.tcp.eu.ngrok.io,ngrok.io,2024-05-22
njrat,3.127.138.57,10614,3.120.0.0/13,2.tcp.eu.ngrok.io,ngrok.io,2024-05-22
njrat,35.158.159.254,17748,35.156.0.0/14,4.tcp.eu.ngrok.io,ngrok.io,2024-05-21
njrat,41.249.41.48,10000,41.249.0.0/17,doddyfire.linkpc.net,linkpc.net,2024-05-21
njrat,147.185.221.19,47823,147.185.221.0/24,production-reservation.gl.at.ply.gg,ply.gg,2024-05-21
redline,5.42.65.85,45779,5.42.64.0/22,,,2024-05-21
njrat,160.178.192.178,10000,160.176.0.0/14,doddyfire.linkpc.net,linkpc.net,2024-05-21
njrat,147.185.221.18,21679,147.185.221.0/24,survey-dover.gl.at.ply.gg,ply.gg,2024-05-21
lokibot,188.114.96.2,80,188.114.96.0/22,spencerstuartllc.top,spencerstuartllc.top,2024-05-21
lokibot,172.67.156.11,80,172.67.0.0/16,spencerstuartllc.top,spencerstuartllc.top,2024-05-21
nanocore,94.156.68.219,2323,94.156.64.0/21,,,2024-05-21
lokibot,103.48.119.160,80,103.48.119.0/24,fashionstune.com,fashionstune.com,2024-05-21
lokibot,172.67.177.101,80,172.67.0.0/16,ransomproducts.top,ransomproducts.top,2024-05-21
nanocore,192.169.69.25,59712,192.169.68.0/22,kartelicemoney.duckdns.org,duckdns.org,2024-05-21
nanocore,109.248.151.181,1996,109.248.151.0/24,xpwarzonlin2.ddns.net,ddns.net,2024-05-20
njrat,160.179.60.231,10000,160.176.0.0/14,doddyfire.linkpc.net,linkpc.net,2024-05-20
redline,185.215.113.67,26260,185.215.113.0/24,,,2024-05-20
njrat,3.125.102.39,14088,3.120.0.0/13,0.tpc.eu.ngrok.io,ngrok.io,2024-05-20
njrat,3.125.209.94,14088,3.120.0.0/13,0.tpc.eu.ngrok.io,ngrok.io,2024-05-20
njrat,18.158.249.75,14088,18.156.0.0/14,0.tpc.eu.ngrok.io,ngrok.io,2024-05-20
njrat,3.125.223.134,14088,3.120.0.0/13,0.tpc.eu.ngrok.io,ngrok.io,2024-05-20
njrat,18.192.31.165,14088,18.192.0.0/13,0.tpc.eu.ngrok.io,ngrok.io,2024-05-20
njrat,3.124.142.205,14088,3.120.0.0/13,0.tpc.eu.ngrok.io,ngrok.io,2024-05-20
njrat,41.249.104.99,10000,41.249.0.0/17,doddyfire.linkpc.net,linkpc.net,2024-05-20
lokibot,188.114.96.2,80,188.114.96.0/22,altaskifer.sbs,altaskifer.sbs,2024-05-20
lokibot,172.67.148.126,80,172.67.0.0/16,altaskifer.sbs,altaskifer.sbs,2024-05-20
njrat,3.125.102.39,14740,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-05-20
njrat,3.125.223.134,14740,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-05-20
njrat,3.125.209.94,14740,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-05-20
lokibot,51.38.187.10,80,51.38.0.0/16,,,2024-05-20
njrat,105.154.100.36,10000,105.154.0.0/16,doddyfire.linkpc.net,linkpc.net,2024-05-20
njrat,199.223.235.67,5050,199.223.232.0/22,seznam.zapto.org,zapto.org,2024-05-20
nanocore,192.169.69.25,482,192.169.68.0/22,tomcoyne.duckdns.org,duckdns.org,2024-05-20
nanocore,192.169.69.25,83,192.169.68.0/22,meeti.duckdns.org,duckdns.org,2024-05-20
lokibot,3.18.7.81,80,3.16.0.0/13,shipboot.com,shipboot.com,2024-05-20
njrat,147.185.221.19,56071,147.185.221.0/24,subjects-handbook.gl.at.ply.gg,ply.gg,2024-05-19
njrat,3.69.157.220,15748,3.64.0.0/12,6.tcp.eu.ngrok.io,ngrok.io,2024-05-19
njrat,3.68.171.119,13006,3.64.0.0/12,6.tcp.eu.ngrok.io,ngrok.io,2024-05-19
njrat,18.197.239.109,13006,18.192.0.0/13,6.tcp.eu.ngrok.io,ngrok.io,2024-05-19
njrat,3.69.157.220,13006,3.64.0.0/12,6.tcp.eu.ngrok.io,ngrok.io,2024-05-19
njrat,3.125.102.39,19473,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-05-19
njrat,18.192.31.165,19473,18.192.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-05-19
njrat,18.158.249.75,19473,18.156.0.0/14,0.tcp.eu.ngrok.io,ngrok.io,2024-05-19
nanocore,192.169.69.25,40000,192.169.68.0/22,wae54.duckdns.org,duckdns.org,2024-05-19
nanocore,192.169.69.25,2506,192.169.68.0/22,nikt0x.duckdns.org,duckdns.org,2024-05-19
lokibot,198.144.229.143,80,198.144.224.0/20,eastcoastrest.com,eastcoastrest.com,2024-05-18
njrat,52.28.112.211,19554,52.24.0.0/13,4.tcp.eu.ngrok.io,ngrok.io,2024-05-18
njrat,147.185.221.19,26075,147.185.221.0/24,,,2024-05-18
redline,185.215.151.236,16678,185.215.151.0/24,,,2024-05-18
njrat,80.92.204.233,7765,80.92.204.0/23,,,2024-05-18
njrat,147.185.221.19,55286,147.185.221.0/24,an-take.gl.at.ply.gg,ply.gg,2024-05-18
njrat,147.185.221.19,55286,147.185.221.0/24,,,2024-05-18
njrat,192.169.69.26,1954,192.169.68.0/22,cihan05.duckdns.org,duckdns.org,2024-05-18
njrat,3.13.191.225,15743,3.8.0.0/13,0.tcp.ngrok.io,ngrok.io,2024-05-18
njrat,3.17.7.232,15743,3.16.0.0/13,0.tcp.ngrok.io,ngrok.io,2024-05-18
nanocore,184.105.237.196,1122,184.105.236.0/23,ruffella.ddns.net,ddns.net,2024-05-18
njrat,147.185.221.19,55286,147.185.221.0/24,19.ip.gl.ply.gg,ply.gg,2024-05-18
redline,152.228.175.121,23581,152.228.128.0/17,,,2024-05-17
njrat,41.249.51.52,10000,41.249.0.0/17,doddyfire.linkpc.net,linkpc.net,2024-05-17
njrat,184.105.237.195,7412,184.105.236.0/23,supporknowledgebase.ddns.net,ddns.net,2024-05-17
njrat,147.185.221.19,54934,147.185.221.0/24,allows-hindu.gl.at.ply.gg,ply.gg,2024-05-17
lokibot,104.21.51.81,80,104.21.0.0/17,ransomproducts.top,ransomproducts.top,2024-05-17
nanocore,94.156.66.54,65140,94.156.64.0/21,december2n.duckdns.org,duckdns.org,2024-05-17
nanocore,192.169.69.26,65140,192.169.68.0/22,december2n.duckdns.org,duckdns.org,2024-05-17
njrat,41.142.192.216,10000,41.142.192.0/19,doddyfire.linkpc.net,linkpc.net,2024-05-16
nanocore,192.169.69.26,7719,192.169.68.0/22,moranhq.duckdns.org,duckdns.org,2024-05-16
lokibot,95.217.59.29,80,95.216.0.0/15,en.mg-trade.ir,mg-trade.ir,2024-05-16
njrat,45.245.96.209,1177,45.245.96.0/20,venomm.ddns.net,ddns.net,2024-05-16
nanocore,91.92.253.11,65024,91.92.240.0/20,december2nd.ddns.net,ddns.net,2024-05-16
lokibot,103.74.123.3,80,103.74.120.0/22,mediagift.vn,mediagift.vn,2024-05-16
lokibot,104.21.50.30,80,104.21.0.0/17,spencerstuartllc.top,spencerstuartllc.top,2024-05-16
njrat,160.176.173.93,10000,160.176.0.0/14,doddyfire.linkpc.net,linkpc.net,2024-05-15
lokibot,45.90.57.51,80,45.90.56.0/22,,,2024-05-15
njrat,147.185.221.19,52445,147.185.221.0/24,tool-seven.gl.at.ply.gg,ply.gg,2024-05-15
njrat,35.158.159.254,11598,35.156.0.0/14,4.tcp.eu.ngrok.io,ngrok.io,2024-05-15
njrat,3.127.59.75,11598,3.120.0.0/13,4.tcp.eu.ngrok.io,ngrok.io,2024-05-15
njrat,18.198.77.177,11598,18.192.0.0/13,4.tcp.eu.ngrok.io,ngrok.io,2024-05-15
njrat,18.197.239.5,14141,18.192.0.0/13,2.tcp.eu.ngrok.io,ngrok.io,2024-05-15
lokibot,3.64.163.50,80,3.64.0.0/12,kingu.xyz,kingu.xyz,2024-05-15
lokibot,91.195.241.232,80,91.195.240.0/23,jayp.eu,jayp.eu,2024-05-15
lokibot,34.91.32.224,80,34.88.0.0/14,abscete.info,abscete.info,2024-05-15
nanocore,192.169.69.25,58580,192.169.68.0/22,lordblessme.duckdns.org,duckdns.org,2024-05-15
njrat,3.125.223.134,12194,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-05-15
njrat,3.125.102.39,12194,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-05-15
njrat,3.125.209.94,12194,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-05-15
njrat,45.245.103.148,5555,45.245.96.0/20,venomm.ddns.net,ddns.net,2024-05-15
njrat,192.169.69.25,1992,192.169.68.0/22,okilometros.duckdns.org,duckdns.org,2024-05-14
njrat,3.124.142.205,12272,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-05-14
redline,194.36.178.33,47454,194.36.178.0/23,,,2024-05-14
lokibot,188.114.97.2,80,188.114.96.0/22,franccoisfreres.com,franccoisfreres.com,2024-05-14
lokibot,104.21.46.21,80,104.20.0.0/15,tampabayllc.top,tampabayllc.top,2024-05-14
redline,95.164.89.184,41653,95.164.88.0/23,,,2024-05-14
lokibot,104.21.65.180,80,104.20.0.0/15,rocheholding.top,rocheholding.top,2024-05-14
lokibot,188.114.96.2,80,188.114.96.0/22,rocheholding.top,rocheholding.top,2024-05-14
lokibot,64.190.63.222,80,64.190.62.0/23,capty.nut.cc,nut.cc,2024-05-14
njrat,3.125.223.134,12841,3.120.0.0/13,o.tpc.ngrok.io,ngrok.io,2024-05-13
njrat,18.192.31.165,12841,18.192.0.0/13,o.tpc.ngrok.io,ngrok.io,2024-05-13
lokibot,91.195.28.16,80,91.195.28.0/23,strutitinca.ro,strutitinca.ro,2024-05-13
njrat,3.125.223.134,16602,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-05-13
njrat,18.158.249.75,16602,18.156.0.0/14,0.tcp.eu.ngrok.io,ngrok.io,2024-05-13
njrat,160.177.79.24,10000,160.176.0.0/14,doddyfire.linkpc.net,linkpc.net,2024-05-13
redline,5.42.65.77,6541,5.42.64.0/22,,,2024-05-13
njrat,3.121.139.82,10948,3.120.0.0/13,4.tcp.eu.ngrok.io,ngrok.io,2024-05-13
njrat,3.127.59.75,10948,3.120.0.0/13,4.tcp.eu.ngrok.io,ngrok.io,2024-05-13
njrat,52.28.112.211,10948,52.24.0.0/13,4.tcp.eu.ngrok.io,ngrok.io,2024-05-13
njrat,3.127.253.86,10948,3.120.0.0/13,4.tcp.eu.ngrok.io,ngrok.io,2024-05-13
njrat,147.185.221.18,34625,147.185.221.0/24,vacation-nails.gl.at.ply.gg,ply.gg,2024-05-13
njrat,41.142.26.2,10000,41.142.0.0/17,doddyfire.linkpc.net,linkpc.net,2024-05-13
njrat,3.67.161.133,11843,3.64.0.0/12,5.tcp.eu.ngrok.io,ngrok.io,2024-05-13
redline,147.45.47.36,39849,147.45.47.0/24,,,2024-05-13
njrat,3.124.142.205,12222,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-05-13
njrat,18.158.249.75,12222,18.156.0.0/14,0.tcp.eu.ngrok.io,ngrok.io,2024-05-13
njrat,18.192.31.165,12222,18.192.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-05-13
njrat,18.197.239.109,18014,18.192.0.0/13,6.tcp.eu.ngrok.io,ngrok.io,2024-05-12
lokibot,107.175.150.73,80,107.175.144.0/20,,,2024-05-12
nanocore,192.169.69.25,2551,192.169.68.0/22,sebaseuro.duckdns.org,duckdns.org,2024-05-12
njrat,184.105.237.195,5553,184.105.236.0/23,redlan.hopto.org,hopto.org,2024-05-11
njrat,105.155.173.158,10000,105.155.128.0/18,doddyfire.linkpc.net,linkpc.net,2024-05-11
njrat,147.185.221.19,10345,147.185.221.0/24,study-window.gl.at.ply.gg,ply.gg,2024-05-11
lokibot,54.80.154.23,80,54.80.0.0/13,higomanga.info,higomanga.info,2024-05-11
lokibot,104.21.52.88,80,104.21.0.0/17,meridianresourcellc.top,meridianresourcellc.top,2024-05-11
njrat,18.192.93.86,14858,18.192.0.0/13,2.tcp.eu.ngrok.io,ngrok.io,2024-05-10
nanocore,192.169.69.25,4782,192.169.68.0/22,mybackups.duckdns.org,duckdns.org,2024-05-10
lokibot,185.53.177.71,80,185.53.176.0/22,blazinghotter.igg.biz,igg.biz,2024-05-10
